timestamp,run,repetition,task,model,exit_code,correct,duration_seconds,used_5h_before,used_5h_after,delta_5h,reset_5h,used_weekly_before,used_weekly_after,delta_weekly,reset_weekly,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,command_executions,agent_messages,event_count,parse_errors,thread_id,rate_snapshot_count,rate_coherent_count,rate_ambiguous,rate_reset_pairs,rate_session_file,rate_session_match_count,resolved_model,resolved_effort,cli_version,session_id,model_context_window,answer,model_verified,tool_count_expected,message_count_expected,model_calls_expected,input_token_in_expected_band,quota_valid,telemetry_valid
2026-07-11T23:28:27.071890+00:00,1,1,aggregate,gpt-5.5,0,True,14.196,74.0,74.0,0.0,1783825346,29.0,29.0,0.0,1784393379,27750,26368,1382,384,257,1,1,6,0,019f5382-8eb7-7d90-913b-f19dd397802e,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-28-12-019f5382-8eb7-7d90-913b-f19dd397802e.jsonl,1,gpt-5.5,medium,0.144.0,019f5382-8eb7-7d90-913b-f19dd397802e,258400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-11T23:28:47.062114+00:00,2,1,aggregate,gpt-5.5,0,True,11.888,74.0,74.0,0.0,1783825346,29.0,29.0,0.0,1784393379,27796,26368,1428,449,322,1,1,6,0,019f5382-e5e2-7292-81e1-3bcc8ae2d4aa,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-28-35-019f5382-e5e2-7292-81e1-3bcc8ae2d4aa.jsonl,1,gpt-5.5,medium,0.144.0,019f5382-e5e2-7292-81e1-3bcc8ae2d4aa,258400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-11T23:29:20.321570+00:00,3,1,aggregate,gpt-5.6-sol,0,True,25.154,74.0,75.0,1.0,1783825346,29.0,29.0,0.0,1784393379,56690,40192,16498,969,261,3,2,11,0,019f5383-340f-7041-8bd9-c6537265ab70,4,4,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-28-55-019f5383-340f-7041-8bd9-c6537265ab70.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5383-340f-7041-8bd9-c6537265ab70,353400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,False,True,False,False,True,True
2026-07-11T23:29:37.391431+00:00,4,1,aggregate,gpt-5.6-sol,0,True,8.985,75.0,75.0,0.0,1783825346,29.0,29.0,0.0,1784393379,27639,26112,1527,228,92,1,1,6,0,019f5383-b659-7303-92a7-75e4e4a5f3a3,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-29-28-019f5383-b659-7303-92a7-75e4e4a5f3a3.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5383-b659-7303-92a7-75e4e4a5f3a3,353400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-11T23:29:54.810176+00:00,5,1,dependencies,gpt-5.6-sol,0,True,9.316,75.0,76.0,1.0,1783825346,29.0,29.0,0.0,1784393379,27502,13056,14446,319,140,1,2,7,0,019f5383-f8a6-7b80-908e-7b05f537fc53,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-29-45-019f5383-f8a6-7b80-908e-7b05f537fc53.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5383-f8a6-7b80-908e-7b05f537fc53,353400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T23:30:14.569301+00:00,6,1,dependencies,gpt-5.6-sol,0,True,11.658,76.0,78.0,2.0,1783825346,29.0,30.0,1.0,1784393379,27435,25088,2347,259,128,1,1,6,0,019f5384-3df0-7fe0-bc44-578660e24e29,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-30-03-019f5384-3df0-7fe0-bc44-578660e24e29.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5384-3df0-7fe0-bc44-578660e24e29,353400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T23:30:32.823184+00:00,7,1,dependencies,gpt-5.5,0,True,10.131,78.0,78.0,0.0,1783825346,30.0,30.0,0.0,1784393379,27552,26368,1184,341,219,1,1,6,0,019f5384-89ff-7103-8bcc-ca617b31b2ad,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-30-22-019f5384-89ff-7103-8bcc-ca617b31b2ad.jsonl,1,gpt-5.5,medium,0.144.0,019f5384-89ff-7103-8bcc-ca617b31b2ad,258400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T23:30:53.218781+00:00,8,1,dependencies,gpt-5.5,0,True,12.293,78.0,79.0,1.0,1783825346,30.0,30.0,0.0,1784393379,27556,15104,12452,442,320,1,1,6,0,019f5384-d136-7de1-a7fa-8d062a72d941,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-30-41-019f5384-d136-7de1-a7fa-8d062a72d941.jsonl,1,gpt-5.5,medium,0.144.0,019f5384-d136-7de1-a7fa-8d062a72d941,258400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T23:31:16.940860+00:00,9,1,schedule,gpt-5.5,0,True,15.624,79.0,79.0,0.0,1783825346,30.0,30.0,0.0,1784393379,27598,15104,12494,635,516,1,1,6,0,019f5385-20b4-79d2-abf4-fbeab274cc79,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-31-01-019f5385-20b4-79d2-abf4-fbeab274cc79.jsonl,1,gpt-5.5,medium,0.144.0,019f5385-20b4-79d2-abf4-fbeab274cc79,258400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
2026-07-11T23:31:48.931795+00:00,10,1,schedule,gpt-5.5,0,True,23.888,79.0,79.0,0.0,1783825346,30.0,30.0,0.0,1784393379,27617,26368,1249,1081,960,1,1,6,0,019f5385-7d8f-70c2-a00d-247ba5bb1565,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-31-25-019f5385-7d8f-70c2-a00d-247ba5bb1565.jsonl,1,gpt-5.5,medium,0.144.0,019f5385-7d8f-70c2-a00d-247ba5bb1565,258400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
2026-07-11T23:32:07.984747+00:00,11,1,schedule,gpt-5.6-sol,0,True,10.955,79.0,80.0,1.0,1783825346,30.0,30.0,0.0,1784393379,27506,26112,1394,389,259,1,1,6,0,019f5385-fa7b-75a2-85c5-7008dc5b7eef,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-31-57-019f5385-fa7b-75a2-85c5-7008dc5b7eef.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5385-fa7b-75a2-85c5-7008dc5b7eef,353400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
2026-07-11T23:32:28.858843+00:00,12,1,schedule,gpt-5.6-sol,0,True,12.769,80.0,80.0,0.0,1783825346,30.0,30.0,0.0,1784393379,27510,26112,1398,355,225,1,1,6,0,019f5386-44ed-76d0-b42d-bce9e3c6f330,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T01-32-16-019f5386-44ed-76d0-b42d-bce9e3c6f330.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5386-44ed-76d0-b42d-bce9e3c6f330,353400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
